BNP.PA,FP.PA,MC.PA,ML.PA,SAN.PA
51.214500427246094,41.775001525878906,87.4000015258789,31.885900497436523,54.900001525878906
51.313499450683594,42.875,90.19999694824219,32.27239990234375,57.54999923706055
51.06610107421875,44.5,89.30000305175781,33.18069839477539,56.54999923706055
51.70930099487305,44.375,90.75,33.08399963378906,60.099998474121094
51.61040115356445,45.25,88.05000305175781,33.0453987121582,58.349998474121094
51.8577995300293,45.75,89.1500015258789,32.75550079345703,58.400001525878906
51.214500427246094,44.650001525878906,87.0,32.262699127197266,56.25
52.3031005859375,46.5,86.0,32.36899948120117,55.25
52.25360107421875,46.375,89.4000015258789,32.417301177978516,57.099998474121094
51.46189880371094,45.0,88.0,32.224098205566406,56.5
50.67020034790039,43.95000076293945,89.0,32.030799865722656,57.900001525878906
50.71969985961914,45.150001525878906,86.05000305175781,31.885900497436523,56.599998474121094
